국가별,2010,2020
한국,1.17,0.98
이스라엘,2.93,3.04
일본,1.34,1.37
터키,2.2,2.08
캐나다,1.64,1.53
멕시코,2.4,2.14
미국,2.06,1.78
칠레,1.9,1.65
콜롬비아,2.1,1.82
오스트리아,1.4,1.53
벨기에,1.82,1.71
체코,1.43,1.64
덴마크,1.85,1.76
에스토니아,1.66,1.59
핀란드,1.84,1.53
프랑스,1.98,1.85
독일,1.36,1.59
그리스,1.42,1.3
헝가리,1.33,1.49
아이슬란드,2.13,1.77
아일랜드,2,1.84
이탈리아,1.44,1.33
라트비아,1.49,1.72
리투아니아,1.42,1.67
룩셈부르크,1.62,1.45
네덜란드,1.75,1.66
노르웨이,1.92,1.68
폴란드,1.37,1.42
포르투갈,1.37,1.29
슬로바키아,1.32,1.5
슬로베니아,1.44,1.6
스페인,1.45,1.33
스웨덴,1.89,1.85
스위스,1.47,1.54
영국,1.86,1.75
오스트레일리아,1.95,1.83
뉴질랜드,2.14,1.9
