연도,한국,이스라엘,일본,터키,캐나다,멕시코,미국,칠레,콜롬비아,오스트리아,벨기에,체코,덴마크,에스토니아,핀란드,프랑스,독일,그리스,헝가리,아이슬란드,아일랜드,이탈리아,라트비아,리투아니아,룩셈부르크,네달란드,노르웨이,폴란드,포르투갈,슬로바키아,슬로베니아,스페인,스웨덴,스위스,영국,오스트레일리아,뉴질래드
1970,4.65,3.78,2.04,5.8,2.61,6.75,2.54,4.08,5.86,2.57,2.39,1.96,2.27,2.02,2.19,2.65,2.36,2.55,1.98,3.24,3.86,2.5,1.84,2.3,2.19,2.79,2.8,2.33,3.12,2.54,2.27,2.84,2.17,2.36,2.57,2.87,3.35
1975,4,3.81,2.13,5.39,1.98,6.32,2.03,3.47,4.72,2.04,2.01,2.21,1.96,2.15,1.62,2.31,1.71,2.53,2.04,2.87,3.73,2.32,2,2.3,1.72,2.1,2.35,2.23,2.83,2.51,2.2,2.85,1.91,1.87,2.01,2.54,2.84
1980,2.92,3.47,1.83,4.69,1.73,5.33,1.77,2.94,4.16,1.65,1.7,2.36,1.68,2.06,1.66,1.86,1.51,2.42,2.25,2.45,3.25,1.89,1.89,2.1,1.49,1.6,1.81,2.23,2.55,2.46,2.16,2.55,1.66,1.54,1.73,1.99,2.18
1985,2.23,3.13,1.76,4.11,1.63,4.37,1.8,2.63,3.58,1.6,1.6,1.97,1.43,2.09,1.69,1.86,1.46,2.06,1.81,2.23,2.83,1.52,2.03,2.04,1.47,1.51,1.69,2.31,2.01,2.27,1.93,1.88,1.64,1.54,1.78,1.91,1.97
1990,1.57,3.07,1.65,3.39,1.62,3.75,1.91,2.6,3.17,1.45,1.56,1.9,1.54,2.2,1.66,1.8,1.43,1.53,1.82,2.12,2.26,1.35,2.16,2.06,1.47,1.55,1.8,2.16,1.62,2.15,1.65,1.46,1.91,1.55,1.84,1.86,2.03
1995,1.68,2.93,1.48,2.9,1.69,3.23,2.03,2.52,3.01,1.48,1.61,1.65,1.75,1.63,1.82,1.71,1.3,1.38,1.74,2.19,1.96,1.27,1.63,1.82,1.66,1.59,1.89,1.95,1.48,1.87,1.33,1.28,2.01,1.54,1.78,1.86,2.07
2000,1.5,2.93,1.37,2.65,1.56,2.85,2,2.2,2.7,1.39,1.6,1.17,1.76,1.33,1.74,1.76,1.35,1.31,1.38,2.06,1.9,1.22,1.17,1.47,1.72,1.6,1.86,1.51,1.46,1.4,1.25,1.19,1.56,1.48,1.74,1.79,1.95
2005,1.21,2.91,1.3,2.37,1.52,2.61,2.04,1.95,2.44,1.38,1.68,1.19,1.76,1.39,1.75,1.88,1.35,1.29,1.3,1.99,1.93,1.31,1.29,1.28,1.65,1.74,1.81,1.26,1.45,1.22,1.21,1.28,1.67,1.41,1.66,1.77,1.95
2010,1.17,2.93,1.34,2.2,1.64,2.4,2.06,1.9,2.1,1.4,1.82,1.43,1.85,1.66,1.84,1.98,1.36,1.42,1.33,2.13,2,1.44,1.49,1.42,1.62,1.75,1.92,1.37,1.37,1.32,1.44,1.45,1.89,1.47,1.86,1.95,2.14
2015,1.23,3.04,1.41,2.12,1.6,2.29,1.88,1.85,1.92,1.45,1.78,1.48,1.73,1.59,1.77,1.98,1.43,1.34,1.33,1.98,1.97,1.42,1.5,1.59,1.55,1.73,1.82,1.33,1.28,1.38,1.58,1.33,1.9,1.53,1.87,1.89,2.04
2020,0.98,3.04,1.37,2.08,1.53,2.14,1.78,1.65,1.82,1.53,1.71,1.64,1.76,1.59,1.53,1.85,1.59,1.3,1.49,1.77,1.84,1.33,1.72,1.67,1.45,1.66,1.68,1.42,1.29,1.5,1.6,1.33,1.85,1.54,1.75,1.83,1.9
