연도,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2000,640089,133154,41222,32477,34433,21148,19570,15816,,141704,19482,19628,24733,25173,26046,35190,41680,8633
2001,559934,114764,35848,28111,30494,18198,17290,13600,,126264,16873,17322,21962,22192,22588,30500,36475,7453
2002,496911,102008,30767,24260,26775,16036,15631,11666,,116854,15314,15329,19059,19215,19242,26022,32203,6530
2003,495036,101227,30117,24513,26832,15954,15712,11720,,120433,14349,14650,18627,18437,18333,25447,32102,6583
2004,476958,99828,28231,23259,25092,14729,15024,11151,,117812,13776,14331,18640,17257,17256,23553,30922,6097
2005,438707,90468,25681,20804,23026,13327,13950,10469,,109533,12657,13164,17521,15745,15818,22339,28471,5734
2006,451759,93922,25881,20360,23711,13679,14489,10740,,115111,12455,13366,18625,15571,15905,22567,29524,5853
2007,496822,101249,28426,22295,26712,14810,15780,11955,,126648,13690,15002,20630,17228,17844,25062,33313,6178
2008,465892,94736,26670,20562,25365,13890,14856,11365,,119397,12373,14064,19749,15878,16363,23538,31493,5593
2009,444849,89594,25110,19399,24379,13101,13915,11033,,113692,12112,13903,19257,15233,15995,22373,30320,5433
2010,470171,93266,27415,20557,25752,13979,14314,11432,,121753,12477,14670,20242,16100,16654,23700,32203,5657
2011,471265,91526,27759,20758,26118,13916,14808,11542,,122027,12408,14804,20398,16175,16612,24250,32536,5628
2012,484550,93914,28673,21472,27781,14392,15279,12160,1054,124746,12426,15139,20448,16238,16990,24635,33211,5992
2013,436455,84066,25831,19340,25560,12729,14099,11330,1111,112129,10980,13658,18628,14555,15401,22206,29504,5328
2014,435435,83711,26190,19361,25786,12729,13962,11556,1344,112169,10662,13366,18200,14231,14817,22062,29763,5526
2015,438420,83005,26645,19438,25491,12441,13774,11732,2708,113495,10929,13563,18604,14087,15061,22310,29537,5600
2016,406243,75536,24906,18298,23609,11580,12436,10910,3297,105643,10058,12742,17302,12698,13980,20616,27138,5494
2017,357771,65389,21480,15946,20445,10120,10851,9381,3504,94088,8958,11394,15670,11348,12354,17957,23849,5037
