楷档,醚牢备,巢磊,咯磊,己厚,牢备己厘伏,14技,64技,65技,14技备己厚,64技备己厚,65技备己厚
1970 ,32240827 ,16308607 ,15932220 ,102.4 ,2.18 ,13709367 ,17540152 ,991308 ,42.5 ,54.4 ,3.1 
1971 ,32882704 ,16648884 ,16233820 ,102.6 ,1.97 ,13764089 ,18064092 ,1054523 ,41.9 ,54.9 ,3.2 
1972 ,33505406 ,16955438 ,16549968 ,102.4 ,1.88 ,13858472 ,18602276 ,1044658 ,41.4 ,55.5 ,3.1 
1973 ,34103149 ,17234877 ,16868272 ,102.2 ,1.77 ,13849385 ,19176510 ,1077254 ,40.6 ,56.2 ,3.2 
1974 ,34692266 ,17514223 ,17178043 ,102.0 ,1.71 ,13790071 ,19781685 ,1120510 ,39.7 ,57.0 ,3.2 
1975 ,35280725 ,17765828 ,17514897 ,101.4 ,1.68 ,13614403 ,20448875 ,1217447 ,38.6 ,58.0 ,3.5 
1976 ,35848523 ,18058503 ,17790020 ,101.5 ,1.60 ,13434830 ,21151580 ,1262113 ,37.5 ,59.0 ,3.5 
1977 ,36411795 ,18349416 ,18062379 ,101.6 ,1.56 ,13273107 ,21829330 ,1309358 ,36.5 ,60.0 ,3.6 
1978 ,36969185 ,18637254 ,18331931 ,101.7 ,1.52 ,13116029 ,22495994 ,1357162 ,35.5 ,60.9 ,3.7 
1979 ,37534236 ,18929361 ,18604875 ,101.7 ,1.52 ,13005315 ,23123979 ,1404942 ,34.6 ,61.6 ,3.7 
1980 ,38123775 ,19235736 ,18888039 ,101.8 ,1.56 ,12950775 ,23716967 ,1456033 ,34.0 ,62.2 ,3.8 
1981 ,38723248 ,19535680 ,19187568 ,101.8 ,1.56 ,12925036 ,24300033 ,1498179 ,33.4 ,62.8 ,3.9 
1982 ,39326352 ,19837392 ,19488960 ,101.8 ,1.55 ,12886600 ,24880337 ,1559415 ,32.8 ,63.3 ,4.0 
1983 ,39910403 ,20129120 ,19781283 ,101.8 ,1.47 ,12800968 ,25494901 ,1614534 ,32.1 ,63.9 ,4.0 
1984 ,40405956 ,20375175 ,20030781 ,101.7 ,1.23 ,12591760 ,26140581 ,1673615 ,31.2 ,64.7 ,4.1 
1985 ,40805744 ,20575600 ,20230144 ,101.7 ,0.98 ,12304542 ,26759353 ,1741849 ,30.2 ,65.6 ,4.3 
1986 ,41213674 ,20771997 ,20441677 ,101.6 ,0.99 ,12029833 ,27383105 ,1800736 ,29.2 ,66.4 ,4.4 
1987 ,41621690 ,20959980 ,20661710 ,101.4 ,0.99 ,11746377 ,27998885 ,1876428 ,28.2 ,67.3 ,4.5 
1988 ,42031247 ,21155226 ,20876021 ,101.3 ,0.98 ,11487445 ,28581942 ,1961860 ,27.3 ,68.0 ,4.7 
1989 ,42449038 ,21357389 ,21091649 ,101.3 ,0.99 ,11261131 ,29134922 ,2052985 ,26.5 ,68.6 ,4.8 
1990 ,42869283 ,21568181 ,21301102 ,101.3 ,0.99 ,10973592 ,29700607 ,2195084 ,25.6 ,69.3 ,5.1 
1991 ,43295704 ,21783914 ,21511790 ,101.3 ,0.99 ,10858720 ,30170543 ,2266441 ,25.1 ,69.7 ,5.2 
